"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mr88","mr89","mr90","mr91"
"31","UGT2B11",3082.66997781979,-1.4818188393117,0.0479347282742662,-30.9132625271856,7.92442000920749e-210,3.26307165863012e-207,1699.94150663653,1552.69865795305,4620.68272667772,4457.35702001186
"32","ARFGEF3",9001.60156473612,-0.802056883830466,0.0264821786919873,-30.2866653517879,1.71766966026827e-201,6.85189162916391e-199,6574.54336149635,6549.00622067326,11570.5777496504,11312.2789271245
"33","FLNA",3572.56936149409,1.26109842032242,0.0417027255924172,30.2401917958027,7.02131108556112e-201,2.7159707880966e-198,4993.08856125557,5090.3557050773,2069.3325910139,2137.50058862958
"34","RHOU",4479.59869838214,-1.09594033866147,0.0367200018556557,-29.8458682809862,9.93232166132509e-196,3.7290025296122e-193,2902.43469220661,2809.68825291795,6107.71224361788,6098.5596047861
"35","ACACA",8700.88737339459,-0.809620207400489,0.0276604079544554,-29.2700024068185,2.49916996205867e-188,9.11482987590825e-186,6208.31172354585,6432.35035178803,11176.9840051376,10985.9034131069
"36","LIMCH1",12639.733588858,-0.644681078883902,0.022561888429666,-28.573897122735,1.41825498110079e-179,5.0288957871532e-177,9900.00497240514,9823.50933100989,15549.6487558209,15285.7712961959
"37","SPON2",14103.9218251169,-0.601205635868079,0.0211830039763477,-28.3815098434277,3.42035422395446e-177,1.18002220726429e-174,11208.2548876508,11206.1978854713,16911.5909457379,17089.6435816075
"38","TM4SF1",1788.0509309113,-1.64142456921605,0.058419668572764,-28.0971222418283,1.06221963975075e-173,3.56821939511008e-171,853.887669232174,881.701334597684,2720.64936275563,2695.96535705971
"39","SLC19A2",1582.67523571212,-1.73498649710265,0.0627050321026293,-27.6690153712543,1.64819917698114e-168,5.39468269081136e-166,719.733299180789,742.437739184307,2403.61768909326,2464.9122153901
"40","PFKFB2",1610.9628713655,-1.67953331858371,0.0615836089604092,-27.2724081445672,9.01441902733105e-164,2.87672647209702e-161,776.52857993247,756.90668416232,2441.35955500545,2469.05666636175
"41","GPT2",2373.69066016501,-1.36413215069074,0.0502204338804929,-27.1628905862681,1.78332341253614e-162,5.55222521000582e-160,1352.3152192771,1304.91797520457,3392.45457599256,3445.07487018583
"42","HSPA5",11775.8007636446,-0.644335060299509,0.0237736540478297,-27.102903870107,9.10020551290293e-162,2.765812461243e-159,9091.16183618292,9284.5411305789,14505.8165785925,14221.6835092243
"43","TUBB",4422.00200013335,0.977148964967876,0.0368537532347268,26.5142320442718,6.64289938778364e-155,1.9720142019781e-152,5809.76552930561,5919.60711412968,2962.19730459363,2996.43805250449
"44","STEAP2",11257.1755319253,-0.61623286921494,0.0237456140177147,-25.9514396534542,1.75152339664672e-148,5.08140821777168e-146,8876.7106898964,8900.20977960042,13757.4492945051,13494.3323636993
"45","VEGFA",4087.45958063728,-0.990873915190187,0.038775858869453,-25.5538869822632,4.97078153419559e-144,1.41004502853348e-141,2791.78181763868,2682.18067529921,5498.45069389258,5377.42513571863
"46","SHROOM3",4287.10081604152,-0.950788772296294,0.037389976660242,-25.4289747473231,1.20621058987586e-142,3.34723438690552e-140,2874.03705183077,2971.55957485948,5685.00334540139,5617.80329207445
"47","AZGP1",656.103005593933,-2.68241105320799,0.107820556052977,-24.8784754169697,1.27239324862235e-136,3.45576591886475e-134,182.136589996771,171.818721613908,1146.27438470441,1124.18232606064
"48","KRT18",4340.44854171079,-0.895205041386163,0.0364276385028728,-24.5748853941098,2.3446963625731e-133,6.23542688921783e-131,3042.46443612886,3028.53104571041,5642.94812338495,5647.85056161893
"49","MCCC2",3177.42109714898,-1.0397142967888,0.0427317347081488,-24.3311979700774,9.1688971501916e-131,2.38859126779991e-128,2065.19391560855,2093.4754765063,4312.27776522385,4238.73723125721
"50","PEG3",584.723545201585,2.89072796883655,0.120848326527403,23.920297880013,1.88351087031013e-126,4.80860325190176e-124,1017.41890863788,1043.57265653921,138.027395335997,139.875220293259
"51","SLC38A2",6810.91355419807,-0.726112998478949,0.0304867792987624,-23.817307540532,2.21025603694307e-125,5.5321408454075e-123,5209.49816549904,5055.99196075452,8583.57864745733,8394.58544308138
"52","AQP3",653.464777180973,-2.45343715450071,0.105067106236315,-23.3511442580562,1.3417559118855e-120,3.29375273369586e-118,207.59654343718,196.235066264305,1084.80906021885,1125.21843880355
"53","ELOVL5",14205.512338083,-0.51656796579197,0.0221724845654167,-23.2977032532332,4.67740111556928e-120,1.1265476460423e-117,11635.1987222668,11743.35746778,16480.2553353129,16963.2378269721
"54","BCL6",1145.20211450973,-1.69599738789986,0.0728148474414415,-23.291917067653,5.35364809510215e-120,1.26554292470331e-117,539.555167140972,540.776818553246,1758.7709515079,1741.70552083681
"55","SQSTM1",4061.21348593581,-0.883620063212148,0.0382045049054562,-23.1286877136302,2.38265992483678e-118,5.52993708009844e-116,2827.03406086386,2882.03297780802,5333.46482290502,5202.32208216633
"56","FDFT1",4389.92348293407,-0.834108628398592,0.0367023644634913,-22.7262913600103,2.46280368672684e-114,5.6138730466193e-112,3132.55350214877,3176.83773173504,5693.63005760989,5556.67264024259
"57","GOLM1",3737.08357442856,-0.891728125936636,0.0399605825279877,-22.31519336116,2.63103041481161e-110,5.8921233763281e-108,2638.04286801775,2597.17562355338,4936.63606131403,4776.47974482907
"58","P4HB",11394.1465057091,-0.511199700680193,0.0231389115884459,-22.092642461863,3.71987531261234e-108,8.18693247680975e-106,9396.68127746782,9395.77114509737,13430.7125696082,13353.4210306631
"59","SORD",8426.40179024693,-0.583633441539203,0.0267052778155749,-21.8546103721422,7.0268357343721e-106,1.52029759575017e-103,6716.53156337555,6772.37055877134,10162.2669816128,10054.4380572281
"60","MLPH",3028.15174715036,-0.976934785079452,0.0451987829193344,-21.6141834354915,1.32118821563501e-103,2.81082792876348e-101,1972.16716265321,2107.04011242318,4006.02948182211,4027.37023170295
"61","ALDH3B2",811.750717547576,-2.01129088584281,0.0945658089203458,-21.2686901196706,2.21376269190347e-100,4.63257061674553e-98,348.605516337906,297.517681110398,1355.47215576054,1245.40751698146
"62","MKNK2",3798.61600318454,-0.820200634773254,0.0391143847200915,-20.9692838233999,1.25133440818594e-97,2.57633608395056e-95,2775.13492500457,2719.25734680537,4894.58083929759,4805.49090163064
"63","SH3D21",904.015774107116,-1.69828471114155,0.0836406144511846,-20.3045460902577,1.17222107671784e-91,2.37514318163543e-89,442.611498271723,409.652004690001,1414.78080219397,1349.01879127277
"64","FAM105A",1389.40226840538,-1.3029648176407,0.0644729761957198,-20.2094721621862,8.08074866839628e-91,1.61173057425123e-88,813.739281114606,789.46181036285,1973.36041769434,1981.04756444972
"65","ADRA2A",1789.36798009475,1.16478312178662,0.0578606970316449,20.1308173171433,3.96402401553661e-90,7.78473331666536e-88,2456.88550699945,2493.18008152391,1070.79065288004,1136.6156789756
"66","SOX4",2041.7212722254,1.0652522139704,0.0530137664289832,20.0938791134073,8.34782740686104e-90,1.61454570982699e-87,2764.36340624132,2761.75987267829,1315.57361179622,1325.18819818577
"67","MAP7D1",3442.6032700724,-0.809600445269586,0.0407815262859073,-19.852136960096,1.05612617064813e-87,2.01215680124229e-85,2470.59471269814,2531.1610620912,4393.15319217854,4375.50411332173
"68","KRT8",7518.47157645271,-0.545625397756702,0.0279304451913137,-19.5351486171939,5.51850517634688e-85,1.03593703788335e-82,6105.49268080574,6121.26803476074,8918.94208456276,8928.18350568159
"69","ANK3",3807.21880039053,-0.752959142624172,0.038686146240992,-19.4632760247991,2.24936433162169e-84,4.16132401350012e-82,2825.07560290691,2845.86061536299,4810.47039526472,4747.46858802751
"70","PPP3CA",8711.653042835,-0.513713052964921,0.0264158122989357,-19.447179861496,3.07906263694494e-84,5.53580768459186e-82,7244.3359827748,7110.5821476324,10225.8889841505,10265.8050567823
"71","CITED2",1692.32203017931,-1.23272425853397,0.0633871410288262,-19.4475446995373,3.05723652672515e-84,5.53580768459186e-82,942.997506273605,1076.12778273974,2344.30904265983,2405.85378904406
"72","LIFR",4922.87793398835,-0.660152950364033,0.034142241390978,-19.3353723560304,2.7070674915127e-83,4.7994050734944e-81,3836.61913767392,3795.38512954511,6037.62020692382,6021.88726181054
"73","SLC41A1",2201.77669873941,0.987005707983366,0.0511654782841339,19.2904618716216,6.45936821244924e-83,1.12950459221801e-80,2895.58008935727,2957.99493894259,1470.85443154922,1482.67733510855
"74","HSP90B1",15030.4824971933,-0.397762836504079,0.0207315739825196,-19.1863308034144,4.81456164599894e-82,8.30511883934818e-80,13015.9115819198,12927.0980287937,17215.6825510875,16963.2378269721
"75","TOB1",1672.70783560455,-1.09785169776043,0.0579875143665805,-18.9325531496336,6.15077577624899e-80,1.04686203711758e-77,1063.44267062631,1067.08469212848,2285.00039622639,2275.30358343702
"76","HOXB13",1637.04818969653,1.10368739505167,0.0593009743407531,18.6116232881723,2.58660822100333e-77,4.34448078172467e-75,2231.66284194968,2237.2606172253,1026.57875281148,1052.69054679964
"77","UGT2B28",969.000873882634,-1.46565146113667,0.0787615860840187,-18.6087093214857,2.73117670231698e-77,4.52772345520471e-75,531.721335313154,499.178601741458,1400.76239485516,1444.34116362077
"78","TRPM8",1139.60595492065,-1.32536888772987,0.071598414341037,-18.5111486047286,1.67882454461498e-76,2.7474609374372e-74,662.938018429108,637.53788809371,1650.93704890165,1607.01086425811
"79","MKLN1",2226.84249988296,-0.964836459686977,0.0521412346757092,-18.5042887014039,1.90679448322792e-76,3.08104197194992e-74,1522.70106153215,1494.822878041,3031.21100226163,2858.63505769705
"80","TMPRSS2",13923.112259646,-0.410559172231262,0.0222284743142838,-18.4699663335617,3.60308848061519e-76,5.74917805688161e-74,11770.3323212967,12137.6362184309,15866.6804294833,15917.8000693729
"81","CRISP3",321.499861660501,-3.0419548482156,0.164936991579254,-18.4431328538808,5.92091085292831e-76,9.33091691822591e-74,73.4421733857948,66.0145614621856,544.561208161552,601.981503632471
"82","AMD1",7967.22419187238,-0.516814380683062,0.0281477062497478,-18.3607991392795,2.70595680042409e-75,4.21238275090409e-73,6592.16948310894,6518.25971259498,9516.34190500137,9242.12566678424
"83","TPD52",4367.03733915108,-0.677352465993373,0.0369049307319709,-18.3539828570002,3.06777904757341e-75,4.71809633039453e-73,3409.67530305783,3311.57978184279,5432.67201330277,5314.22225840094
"84","ITGAV",2526.96299800405,-0.863173125122598,0.0470679221667545,-18.3388831583537,4.05032726800837e-75,6.15505090191986e-73,1781.21751185014,1804.09657694603,3259.81887578687,3262.71902743314
"85","KCNN2",1084.03322532517,1.36370114747285,0.0748643334773926,18.2156319856191,3.87912526980108e-74,5.82553341988363e-72,1532.49335131692,1589.77532945921,623.279957064113,590.584263460428
"86","ASPH",1968.82240079941,-1.00374748298871,0.0554659698021072,-18.0966363081707,3.3873264116068e-73,5.02781647025126e-71,1358.19059314796,1263.31975839278,2663.49739437432,2590.28185728258
"87","LPP",2344.86022337431,-0.875434826215921,0.0489464506115169,-17.8855630036212,1.52801948164152e-71,2.24197341185678e-69,1638.25008099246,1670.25883589941,3051.69944375681,3019.23253284857
"88","TMEFF2",1435.47814444257,2.29754932038487,0.128587807069452,17.8675519300514,2.11055247118695e-71,3.06150026076152e-69,2361.90029608716,2409.07933883921,531.621139848802,439.311802995125
"89","XPO6",2597.58082695166,-0.834448633497454,0.0469736302012936,-17.7641930147114,1.33851319170903e-70,1.91978886428829e-68,1892.84961539655,1841.17324845219,3288.93402949056,3367.36641446735
"90","CAMK2N1",465.290658958944,2.17781250219717,0.12333208241543,17.6581183058392,8.81290119589034e-70,1.24996315295045e-67,754.006313427493,770.471320079207,157.437497805122,179.247504523954
"91","MPC2",5943.41905011818,-0.561564413777084,0.0318606681349892,-17.625632061381,1.56608621618192e-69,2.19682313731453e-67,4877.53954179525,4725.91915344359,7099.78414759536,7070.43335763852
"92","MICAL1",2228.46156945916,-0.911718555300236,0.0519119068483736,-17.5628022673723,4.74726676678097e-69,6.5868326389086e-67,1497.24110809174,1595.20118382596,2950.33557530694,2871.06841061201
"93","FAT1",979.427433129188,1.40131038212273,0.0802225956068126,17.4677766472534,2.52130263519157e-68,3.46069119765811e-66,1370.92056986817,1470.4065333906,552.109581343989,524.273047913994
"94","PABPC1",11462.9932969947,0.403724064226528,0.0231139902289681,17.4666537550298,2.57140735469525e-68,3.49191647688137e-66,13026.683100683,13086.2564235519,9844.15696892437,9894.87669481945
"95","ALDOA",13282.5146772534,-0.372299200593166,0.021543309465769,-17.2814302827858,6.49180225766459e-67,8.72293219148301e-65,11560.7773199026,11595.0507817554,15015.87093792,14958.3596694354
"96","HIST2H2BE",1587.20449089767,-1.02676836387442,0.0595210334979534,-17.2505130293096,1.10910163471063e-66,1.47475857990429e-64,1041.89963309981,1048.09420184484,2153.44303504677,2105.38109359928
"97","EPHX1",1713.90282714987,-0.999372513217006,0.0580308721842891,-17.221393985658,1.83514423719808e-66,2.41501197812716e-64,1164.30325540947,1122.24754485716,2244.02351323602,2325.03699509684
"98","HGD",652.266241586476,-1.66013438855733,0.0964555693655341,-17.2113896530534,2.18133882644699e-66,2.84130511424447e-64,311.39481515577,315.603862332915,1005.01197229023,977.054316566988
"99","TM7SF2",1337.1171881541,-1.1261405917281,0.0654584645997742,-17.2038956094302,2.48264932697433e-66,3.20111299584114e-64,860.742272081515,820.208318441128,1843.95973456684,1823.55842752693
"100","WWC1",2048.84499818628,-0.898779029691538,0.052646371341638,-17.0720033838437,2.3982705976271e-65,3.061392417871e-63,1439.46659836158,1421.57384408981,2709.86597249501,2624.47357779871
"101","NUDT8",585.704175392477,-1.77391391241079,0.104640388425265,-16.9524782840207,1.84509489085021e-64,2.33194418630722e-62,279.08025886602,251.397918992981,930.606579491919,881.731944218989
"102","TBRG1",2243.85272510887,-0.844868536134176,0.049846361024323,-16.9494526535631,1.94253794410887e-64,2.4310291035833e-62,1618.66550142292,1591.58394758146,2889.94858984744,2875.21286158366
"103","MME",8758.12679076391,0.455071914959337,0.0268595050256794,16.9426768856782,2.1797605773449e-64,2.70142172522404e-62,10109.5599737993,10145.4433567707,7499.84792626454,7277.65590622113
"104","RHOB",3367.1412841786,-0.696313520369804,0.0412646993512928,-16.874314639784,6.95272079227976e-64,8.53379624167799e-62,2529.34845140677,2609.83595040915,4155.91860644479,4173.46212845369
